uri,lang,isDuplicate,date,time,dateTime,dateTimePub,dataType,sim,url,title,body,authors,image,sentiment,wgt,relevance,source.uri,source.dataType,source.title,eventUri,feed date
8341670304,eng,True,2024-09-29,05:10:09,2024-09-29T05:10:09Z,2024-09-29T05:05:17Z,news,0.0,https://www.nbcdfw.com/news/business/money-report/are-immigrants-taking-jobs-from-native-u-s-workers-heres-what-economists-say/3657453/?os=fuzzscan0XXtr&ref=app,Are immigrants taking jobs from 'native' U.S. workers? Here's what economists say,"""They're taking your jobs,"" the Republican nominee told supporters on Sept. 21 in Wilmington, North Carolina.

Immigration is also a top issue for Republican voters: 82% of Trump supporters say ...",[],https://media.nbcdfw.com/2024/09/108039647-1727360125710-gettyimages-2170598994-moreno-2024uspr240910_npsCI.jpeg?quality=85&strip=all&resize=1200%2C675,0.2863,465282609,1,nbcdfw.com,news,NBC 5 Dallas-Fort Worth,,2024-09-29
8341670312,eng,True,2024-09-29,05:08:56,2024-09-29T05:08:56Z,2024-09-29T05:05:17Z,news,0.0,https://www.nbcdfw.com/news/business/money-report/are-immigrants-taking-jobs-from-native-u-s-workers-heres-what-economists-say/3657453/?os=avdavdxhup&ref=app,Are immigrants taking jobs from 'native' U.S. workers? Here's what economists say,"""They're taking your jobs,"" the Republican nominee told supporters on Sept. 21 in Wilmington, North Carolina.

Immigration is also a top issue for Republican voters: 82% of Trump supporters say ...",[],https://media.nbcdfw.com/2024/09/108039647-1727360125710-gettyimages-2170598994-moreno-2024uspr240910_npsCI.jpeg?quality=85&strip=all&resize=1200%2C675,0.2863,465282536,1,nbcdfw.com,news,NBC 5 Dallas-Fort Worth,,2024-09-29
8341627634,eng,False,2024-09-29,04:02:29,2024-09-29T04:02:29Z,2024-09-29T04:02:09Z,news,0.7647,https://www.hollywoodreporter.com/tv/tv-news/snl-season-50-premiere-jean-smart-maya-rudolph-jim-gaffigan-1236017106/,'SNL' Season 50 Premiere Kicks Off on the Campaign Trail With Maya Rudolph and Jim Gaffigan,"Original 'SNL' Castmember Jane Curtin Initially Thought Viewers Watching the Show ""Must Be Really Stupid""

It's no surprise that Saturday Night Live's milestone 50th season kicked off with one of the ...","{'uri': ['carly_thomas@hollywoodreporter.com'], 'name': ['Carly Thomas'], 'type': ['author'], 'isAgency': [False]}",https://www.hollywoodreporter.com/wp-content/uploads/2024/09/Saturday-Night-Live-season-50-premiere-screenshot-H-2024.jpg?w=1296&h=730&crop=1,0.1529,465278549,1,hollywoodreporter.com,news,The Hollywood Reporter,eng-9947598,2024-09-29
8341610554,eng,False,2024-09-29,03:31:28,2024-09-29T03:31:28Z,2024-09-29T03:31:07Z,news,0.0,https://www.businesstelegraph.co.uk/are-immigrants-taking-jobs-from-native-u-s-workers-heres-what-economists-say/,Are immigrants taking jobs from 'native' U.S. workers? Here's what economists say - Business Telegraph,"The first debate between Vice President Kamala Harris and former President Donald Trump is shown on television at the Juventud 2000 migrant shelter in Tijuana, Mexico, on Sept. 10, 2024. Immigration ...",[],https://www.businesstelegraph.co.uk/wp-content/uploads/2024/09/Are-immigrants-taking-jobs-from-039native039-US-workers-Here039s-what.jpeg,0.1451,465276688,1,businesstelegraph.co.uk,news,Business Telegraph,,2024-09-29
8341609954,eng,False,2024-09-29,03:30:36,2024-09-29T03:30:36Z,2024-09-29T03:30:09Z,news,0.0,http://www.palmerreport.com/analysis/did-donald-trump-just-surrender/58358/,Did Donald Trump just surrender?,"Note from Bill Palmer: Palmer Report has sharply reduced the number of ads and is now a reader supported site. We're coming up on a hard budget deadline and we need your help. Donate now:

Donate $5 ...","{'uri': ['bill_palmer@palmerreport.com'], 'name': ['Bill Palmer'], 'type': ['author'], 'isAgency': [False]}",http://www.palmerreport.com/wp-content/uploads/2017/09/donald-trump-6.jpg,0.1137,465276636,1,palmerreport.com,news,Palmer Report,,2024-09-29
8341577138,eng,False,2024-09-29,02:43:48,2024-09-29T02:43:48Z,2024-09-29T02:30:57Z,news,0.6,https://www.sundaytimes.lk/240929/news/foreign-observers-say-their-wide-ranging-focus-strenghthened-democratic-process-572809.html,Foreign observers say their wide-ranging focus strenghthened democratic process,"International election observers focused on the infrastructure facilities provided to voters, enhancing transparency in political finance, advancing women's participation in public life, and Sri ...",[],https://www.sundaytimes.lk/240929/uploads/DSC03481-300x109.jpg,0.1922,465273828,1,sundaytimes.lk,news,Times Online Sri Lanka,eng-9947677,2024-09-29
8341581670,eng,True,2024-09-29,02:40:40,2024-09-29T02:40:40Z,2024-09-29T02:40:00Z,news,0.0,https://gephardtdaily.com/top-stories/trump-threatens-to-criminally-prosecute-google-for-displaying-bad-stories-about-him/,Trump threatens to criminally prosecute Google for displaying 'bad stories' about him | Gephardt Daily,Sept. 28 (UPI) -- Republican presidential nominee Donald Trump has threatened to criminally prosecute the Internet search engine Google for allegedly favoring Democratic opponent Kamala Harris in its ...,"{'uri': ['united_press_international@gephardtdaily.com'], 'name': ['United Press International'], 'type': ['author'], 'isAgency': [True]}",https://gephardtdaily.com/wp-content/uploads/2024/09/Trump-threatens-to-criminally-prosecute-Google-for-displaying-bad-stories-about-him.jpg,-0.0431,465273640,1,gephardtdaily.com,news,Gephardt Daily,,2024-09-29
8341576585,eng,True,2024-09-29,02:32:07,2024-09-29T02:32:07Z,2024-09-29T02:29:54Z,news,0.0,https://www.nbcdfw.com/news/business/money-report/are-immigrants-taking-jobs-from-native-u-s-workers-heres-what-economists-say/3657453/?os=...&ref=app,Are immigrants taking jobs from 'native' U.S. workers? Here's what economists say,"""They're taking your jobs,"" the Republican nominee told supporters on Sept. 21 in Wilmington, North Carolina.

Immigration is also a top issue for Republican voters: 82% of Trump supporters say ...",[],https://media.nbcdfw.com/2024/09/108039647-1727360125710-gettyimages-2170598994-moreno-2024uspr240910_npsCI.jpeg?quality=85&strip=all&resize=1200%2C675,0.2863,465273127,1,nbcdfw.com,news,NBC 5 Dallas-Fort Worth,,2024-09-29
2024-09-499494266,eng,False,2024-09-29,02:13:28,2024-09-29T02:13:28Z,2024-09-29T00:24:00Z,news,0.9176,https://www.aol.com/two-wizards-bickering-nate-silver-205730144.html,"'Two wizards bickering': Nate Silver, Allan Lichtman trade barbs over 2024 election picks","'Two wizards bickering': Nate Silver, Allan Lichtman trade barbs over 2024 election picks

Mike Snider

Updated September 29, 2024 at 2:24 AM

The feud between historian Allan Lichtman and ...","{'uri': ['mike_snider@aol.com'], 'name': ['Mike Snider'], 'type': ['author'], 'isAgency': [False]}",https://s.yimg.com/ny/api/res/1.2/3rjjcVhd9uLlqDPjZ5KFFA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/aol_usatoday_us_articles_590/1ca7357578f293177fba65e3cad9cc1c,0.2157,465272008,1,aol.com,news,Aol,eng-9947525,2024-09-29
8341566372,eng,False,2024-09-29,02:08:11,2024-09-29T02:08:11Z,2024-09-29T02:07:56Z,news,0.0,https://milwaukeecourieronline.com/index.php/2024/09/28/rs-ps-g-d/,RS - PS - G - D - Milwaukee Courier Weekly Newspaper,"EXCEPT WHERE INDICATED, THE OPINIONS EXPRESSED ON THIS PAGE ARE NOT NECESSARILY THOSE OF THE MILWAUKEE COURIER

Whether you are a Black or non-Black American, the time expended reading this analysis ...","{'uri': ['courier_admin@milwaukeecourieronline.com'], 'name': ['Courier Admin'], 'type': ['author'], 'isAgency': [False]}",https://milwaukeecourieronline.com/wp-content/uploads/2023/03/photo-collage-global-currency-bills-dollars.jpg,0.4275,465271691,1,milwaukeecourieronline.com,news,Milwaukee Courier Weekly Newspaper,,2024-09-29
