uri,lang,isDuplicate,date,time,dateTime,dateTimePub,dataType,sim,url,title,body,authors,image,sentiment,wgt,relevance,source.uri,source.dataType,source.title,eventUri,feed date
8332476010,eng,False,2024-09-22,22:00:54,2024-09-22T22:00:54Z,2024-09-22T22:00:35Z,news,0.0,https://www.11alive.com/article/news/politics/donald-trump-jd-vance-vist-georgia/85-995aba5e-b937-4253-8304-2abc6962ac3d,"Donald Trump, JD Vance to make separate visits to Georgia | What to know","GEORGIA, USA -- Former President Donald Trump and his running mate, U.S. Sen. JD Vance, are expected to visit Georgia for two separate events this upcoming week.

The Republican presidential nominee ...",[],https://media.11alive.com/assets/WXIA/images/de72b5bf-ea2d-4897-afbd-a097dab5438e/20240922T213706/de72b5bf-ea2d-4897-afbd-a097dab5438e_1140x641.jpg,0.1686,464738454,1,11alive.com,news,WXIA-TV 11,,2024-09-22
8332472857,eng,True,2024-09-22,21:55:50,2024-09-22T21:55:50Z,2024-09-22T21:55:00Z,news,0.0,https://sg.news.yahoo.com/tom-cotton-justifies-trump-blaming-213359641.html,Tom Cotton Justifies Trump Blaming Jewish Voters For His Potential Election Loss,"""Donald Trump has been saying things like this for at least 11 months, since the Oct. 7 attacks,"" Cotton told CNN's Jake Tapper on Sunday on ""State of the Union."" ""The point he's been making all along ...",[],https://media.zenfs.com/en/the_huffington_post_584/44bacdd6a6425be50150183fa3c31f27,-0.051,464738150,1,sg.news.yahoo.com,news,Yahoo News,,2024-09-22
8332465988,eng,True,2024-09-22,21:45:05,2024-09-22T21:45:05Z,2024-09-22T21:43:11Z,news,0.0,https://ca.news.yahoo.com/tom-cotton-justifies-trump-blaming-213359641.html,Tom Cotton Justifies Trump Blaming Jewish Voters For His Potential Election Loss,"""Donald Trump has been saying things like this for at least 11 months, since the Oct. 7 attacks,"" Cotton told CNN's Jake Tapper on Sunday on ""State of the Union."" ""The point he's been making all along ...",[],https://media.zenfs.com/en/the_huffington_post_584/44bacdd6a6425be50150183fa3c31f27,-0.051,464737505,1,ca.news.yahoo.com,news,Yahoo,,2024-09-22
8332463976,eng,True,2024-09-22,21:42:02,2024-09-22T21:42:02Z,2024-09-22T21:39:42Z,news,0.0,https://www.yahoo.com/news/tom-cotton-justifies-trump-blaming-213359641.html,Tom Cotton Justifies Trump Blaming Jewish Voters For His Potential Election Loss,"""Donald Trump has been saying things like this for at least 11 months, since the Oct. 7 attacks,"" Cotton told CNN's Jake Tapper on Sunday on ""State of the Union."" ""The point he's been making all along ...",[],https://media.zenfs.com/en/the_huffington_post_584/44bacdd6a6425be50150183fa3c31f27,-0.051,464737322,1,yahoo.com,news,Yahoo,,2024-09-22
8332463539,eng,False,2024-09-22,21:39:25,2024-09-22T21:39:25Z,2024-09-22T21:38:50Z,news,0.6471,https://www.huffpost.com/entry/tom-cotton-justifies-donald-trump-blaming-jewish-voters-potential-election-loss_n_66f055a3e4b0af9094c4a24c,Tom Cotton Justifies Trump Blaming Jewish Voters For His Potential Election Loss,"""Donald Trump has been saying things like this for at least 11 months, since the Oct. 7 attacks,"" Cotton told CNN's Jake Tapper on Sunday on ""State of the Union."" ""The point he's been making all along ...",[],https://img.huffingtonpost.com/asset/66f07afb2200008e0064c636.jpeg?cache=42o5oMvryR&ops=1200_630,-0.051,464737165,1,huffpost.com,news,HuffPost,eng-9925708,2024-09-22
8332450439,eng,False,2024-09-22,21:18:17,2024-09-22T21:18:17Z,2024-09-22T21:17:08Z,news,0.0,https://www.yahoo.com/entertainment/chappell-roan-addressed-why-she-210233557.html,Chappell Roan Addressed Why She Has Yet To Endorse Kamala Harris For The 2024 Presidential Election,"Regardless of online criticism, Chappell Roan seems rather tight-lipped on her political affiliations.

The ""Good Luck, Babe"" singer openly discussed her sexuality, mental health, and sudden rise to ...",[],https://s.yimg.com/ny/api/res/1.2/1zn9O1x7GsYEnuPlRKs7Yg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTc7Y2Y9d2VicA--/https://media.zenfs.com/en/buzzfeed_articles_778/c1c141d4933411b6de4cb1309d955314,0.2314,464735897,1,yahoo.com,news,Yahoo,,2024-09-22
8332447897,eng,False,2024-09-22,21:14:07,2024-09-22T21:14:07Z,2024-09-22T21:13:10Z,news,0.7059,https://www.worldtribune.com/iran-iran-iran-wheres-the-grand-jury-investigation-asks-trump/,"'Iran, Iran, Iran': Where's the grand jury investigation, asks Trump","A group of Iranian operatives hacked into GOP candidate Donald Trump's campaign and attempted to give the pilfered confidential information to the Democrat campaign, according to multiple U.S. ...",[],https://www.worldtribune.com/wp-content/uploads/2024/09/djtashboro.jpg?w=640,-0.0588,464735647,1,worldtribune.com,news,World Tribune: Window on the Real World,eng-9919158,2024-09-22
8332444535,eng,True,2024-09-22,21:08:49,2024-09-22T21:08:49Z,2024-09-22T21:08:19Z,news,0.0,https://kion546.com/cnn-opinion/2024/09/22/kamala-harris-vs-donald-trump-is-the-closest-presidential-race-of-the-century/,Kamala Harris vs. Donald Trump is the closest presidential race of the century - KION546,"(CNN) -- The 2024 presidential election continues to be the closest of the century. In fact, it is the closest race for the White House in the past 60 years.

Polling since the September 10 debate ...","{'uri': ['cnn_newsource@kion546.com'], 'name': ['Cnn Newsource'], 'type': ['author'], 'isAgency': [False]}",https://kion546.b-cdn.net/2023/10/kionlogog-860x540.jpg,0.0588,464735329,1,kion546.com,news,KION546,,2024-09-22
8332405479,eng,False,2024-09-22,20:09:41,2024-09-22T20:09:41Z,2024-09-22T20:07:07Z,news,0.5804,https://keyt.com/cnn-opinion/2024/09/22/kamala-harris-vs-donald-trump-is-the-closest-presidential-race-of-the-century/,Kamala Harris vs. Donald Trump is the closest presidential race of the century,"(CNN) -- The 2024 presidential election continues to be the closest of the century. In fact, it is the closest race for the White House in the past 60 years.

Polling since the September 10 debate ...","{'uri': ['cnn_newsource@keyt.com'], 'name': ['Cnn Newsource'], 'type': ['author'], 'isAgency': [False]}",https://keyt.b-cdn.net/2023/08/nc312-combined-commercial-slate-860x484.jpg,0.0588,464731781,1,keyt.com,news,NewsChannel 3-12,eng-9921781,2024-09-22
2024-09-493057009,eng,True,2024-09-22,20:08:57,2024-09-22T20:08:57Z,2024-09-22T20:00:19Z,news,0.0,https://us.cnn.com/2024/09/22/politics/closest-presidential-race-harris-trump/index.html,Kamala Harris vs. Donald Trump is the closest presidential race of the century | CNN Politics,"Vice President Kamala Harris and former President Donald Trump

CNN --

The 2024 presidential election continues to be the closest of the century. In fact, it is the closest race for the White House ...","{'uri': ['harry_enten@us.cnn.com'], 'name': ['Harry Enten'], 'type': ['author'], 'isAgency': [False]}","https://media.cnn.com/api/v1/images/stellar/prod/20240921-potus.jpg?c=16x9&q=w_800,c_fill",0.0588,464731737,1,us.cnn.com,news,CNN,,2024-09-22
2024-09-493056135,eng,False,2024-09-22,20:07:47,2024-09-22T20:07:47Z,2024-09-22T20:00:19Z,news,0.6157,https://edition.cnn.com/2024/09/22/politics/closest-presidential-race-harris-trump/index.html,Kamala Harris vs. Donald Trump is the closest presidential race of the century,"Vice President Kamala Harris and former President Donald Trump

The 2024 presidential election continues to be the closest of the century. In fact, it is the closest race for the White House in the ...","{'uri': ['harry_enten@edition.cnn.com'], 'name': ['Harry Enten'], 'type': ['author'], 'isAgency': [False]}","https://media.cnn.com/api/v1/images/stellar/prod/20240921-potus.jpg?c=16x9&q=w_800,c_fill",0.0588,464731667,1,edition.cnn.com,news,CNN International,eng-9921781,2024-09-22
