uri,lang,isDuplicate,date,time,dateTime,dateTimePub,dataType,sim,url,title,body,authors,sentiment,wgt,relevance,source.uri,source.dataType,source.title,image,eventUri,feed date
8329109384,eng,True,2024-09-20,05:34:22,2024-09-20T05:34:22Z,2024-09-20T05:33:25Z,news,0.0,https://www.ghanamma.com/2024/09/20/2024-elections-bawumia-pushes-for-ideas-not-insults/,"2024 Elections: Bawumia Pushes For Ideas, Not Insults - Ghanamma.com","The presidential candidate of the ruling New Patriotic Party (NPP), Dr. Mahamudu Bawumia, has called for electioneering campaigns to be centred on constructive debate and the exchange of ideas over ...",[],0.302,464506462,1,ghanamma.com,news,Ghanamma.com,,,2024-09-20
8329098279,eng,False,2024-09-20,05:22:49,2024-09-20T05:22:49Z,2024-09-20T05:22:37Z,news,0.0,https://www.onlanka.com/news/all-set-to-hold-sri-lankas-2024-presidential-election.html,All set to hold Sri Lanka's 2024 Presidential Election - Sri Lanka,"Sri Lanka's Election Commission is set to hold the 2024 Presidential Election on September 21, 2024, and the official results will be released by September 22, 2024.

This was announced by R.M.A.L. ...",[],0.1137,464505769,1,onlanka.com,news,ONLANKA News :. Latest Sri Lanka Breaking News Updates | Lanka News,https://www.onlanka.com/wp-content/uploads/2024/08/presidential-election-2024-sri-lanka.jpg,,2024-09-20
8329072514,eng,False,2024-09-20,04:58:15,2024-09-20T04:58:15Z,2024-09-20T04:57:53Z,news,0.0,https://www.democraticunderground.com/100219483705,Poll: LGBTQ voters are motivated and strongly favor Harris over Trump,"Three-quarters of LGBTQ voters are supporting Vice President Kamala Harris in the 2024 presidential election -- and those voters are well-positioned to make their voices heard, with more than 95% of ...",[],0.2392,464504295,1,democraticunderground.com,news,Democratic Underground,,,2024-09-20
8329072337,eng,False,2024-09-20,04:58:04,2024-09-20T04:58:04Z,2024-09-20T04:57:40Z,news,0.0,https://www.benzinga.com/markets/equities/24/09/40951546/big-short-fame-investor-drops-previous-prediction-of-trump-victory-the-market-is-going-straight-,'Big Short' Fame Investor Drops Previous Prediction Of Trump Victory: 'The Market Is Going Straight Down' If Kamala Harris Wins White House And Democrats Sweep Congress,'Big Short' famed investor Steve Eisman who is a senior portfolio manager at Neuberger Berman says that he has dropped his forecast after President Joe Biden drops out of the 2024 presidential ...,"{'uri': ['kaustubh_bagalkote@benzinga.com'], 'name': ['Kaustubh Bagalkote'], 'type': ['author'], 'isAgency': [False]}",0.3255,464504284,1,benzinga.com,news,Benzinga,https://cdn.benzinga.com/files/images/story/2024/09/20/US-Congressional-Election-Betting-Now-Le.jpeg?width=1200&height=800&fit=crop,,2024-09-20
8329070358,eng,True,2024-09-20,04:55:45,2024-09-20T04:55:45Z,2024-09-20T04:55:22Z,news,0.0,https://dnyuz.com/2024/09/20/ny-mag-reporter-olivia-nuzzi-placed-on-leave-over-alleged-relationship-with-rfk-jr/,'NY Mag' Reporter Olivia Nuzzi Placed On Leave Over Alleged Relationship With RFK Jr.,New York Magazine has put Washington correspondent Olivia Nuzzi on leave after she allegedly had a relationship with Robert F. Kennedy Jr. amid his recent campaign for the 2024 presidential ...,[],0.0039,464504145,1,dnyuz.com,news,DNyuz,https://dnyuz.com/wp-content/uploads/2024/09/'NY-Mag-Reporter-Olivia-Nuzzi-Placed-On-Leave-Over-Alleged.jpg,,2024-09-20
2024-09-490755460,eng,False,2024-09-20,04:54:24,2024-09-20T04:54:24Z,2024-09-20T04:09:37Z,news,0.902,https://internewscast.com/news/olivia-nuzzi-from-ny-mag-reportedly-on-leave-for-alleged-relationship-with-rfk-jr/,Olivia Nuzzi from 'NY Mag' Reportedly on Leave for Alleged Relationship with RFK Jr. - Internewscast Journal,New York Magazine has put Washington correspondent Olivia Nuzzi on leave after she allegedly had a relationship with Robert F. Kennedy Jr. amid his recent campaign for the 2024 presidential ...,[],0.0275,464504064,1,internewscast.com,news,Internewscast Journal,https://internewscast.com/wp-content/uploads/2024/09/rewrite-this-title-'NY-Mag-Reporter-Olivia-Nuzzi-Placed-On.jpg,eng-9921130,2024-09-20
8329060513,eng,True,2024-09-20,04:54:22,2024-09-20T04:54:22Z,2024-09-20T04:44:06Z,news,0.0,https://www.ghanamma.com/2024/09/18/2024-elections-24-file-for-president/,2024 Elections: 24 File For President - Ghanamma.com,"The presidential election is heating up, with a whopping 24 candidates filing their nominations to contest the top spot at the September 13 deadline.

The people, who are a diverse pool, include ...",[],0.3725,464504062,1,ghanamma.com,news,Ghanamma.com,,,2024-09-20
8329050513,eng,False,2024-09-20,04:35:03,2024-09-20T04:35:03Z,2024-09-20T04:33:03Z,news,0.7686,https://www.latestly.com/agency-news/world-news-in-person-voting-for-us-presidential-contest-about-to-start-as-election-day-closes-in-6280588.html,World News | In-person Voting for US Presidential Contest About to Start as Election Day Closes in | LatestLY,"Minneapolis (US), Sep 20 (AP) The Democratic and Republican parties conventions are just a memory, the first and perhaps only debate between Vice President Kamala Harris and former President Donald ...",[],-0.0196,464502903,1,latestly.com,news,LatestLY,https://st1.latestly.com/wp-content/uploads/2020/10/Latestly-World-News-784x441.jpg,eng-9917017,2024-09-20
2024-09-490731356,eng,False,2024-09-20,04:14:16,2024-09-20T04:14:16Z,2024-09-20T03:22:22Z,news,0.6353,https://www.econotimes.com/Undeniable-Winner-Donald-Trump-Leads-Kamala-Harris-by-Narrow-Margin-in-Latest-Polls-as-Swing-States-and-Undecided-Voters-Loom-Large-1687865,Undeniable Winner? Donald Trump Leads Kamala Harris by Narrow Margin in Latest Polls as Swing States and Undecided Voters Loom Large,"As the 2024 presidential election nears, recent polls reveal a highly competitive race between former President Donald Trump and Vice President Kamala Harris. According to a Rasmussen Reports survey ...",[],0.1373,464501656,1,econotimes.com,news,EconoTimes,https://f1.econotimes.com/2024/09/rz9nmvz233_th_1024x0.jpg,eng-9920884,2024-09-20
8329028288,eng,True,2024-09-20,04:10:56,2024-09-20T04:10:56Z,2024-09-20T04:09:23Z,news,0.0,https://www.yahoo.com/entertainment/ny-mag-reporter-olivia-nuzzi-035847820.html,'NY Mag' Reporter Olivia Nuzzi Placed On Leave Over Alleged Relationship With RFK Jr.,New York Magazine has put Washington correspondent Olivia Nuzzi on leave after she allegedly had an affair with Robert F. Kennedy Jr. amid his recent campaign for the 2024 presidential ...,[],0.0039,464501456,1,yahoo.com,news,Yahoo,https://s.yimg.com/ny/api/res/1.2/IFTTbrHTvylyxsNR2F_Eow--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY7Y2Y9d2VicA--/https://media.zenfs.com/en/deadline.com/646a2a514c532a23443b8e3d0b7ea519,,2024-09-20
