uri,lang,isDuplicate,date,time,dateTime,dateTimePub,dataType,sim,url,title,body,authors,image,sentiment,wgt,relevance,source.uri,source.dataType,source.title,eventUri
8320702830,eng,True,2024-09-14,05:26:14,2024-09-14T05:26:14Z,2024-09-14T05:25:55Z,news,0.0,https://morungexpress.com/sunita-williams-to-cast-vote-in-us-presidential-elections-from-space,Sunita Williams to cast vote in US presidential elections from space,"Washington, September 14 (IANS) Indian-origin astronaut Sunita Williams and her fellow NASA colleague Butch Wilmore, currently stuck on the International Space Station (ISS), expressed their ...",[],https://morungexpress.com/uploads/2024/09/22811635_1726288503_202409143222436 (2).jpg,0.1137,463987574,1,morungexpress.com,news,MorungExpress,
8320702424,eng,False,2024-09-14,05:25:45,2024-09-14T05:25:45Z,2024-09-14T05:25:18Z,news,0.7098,https://www.firstpost.com/world/united-states/how-nasa-astronauts-sunita-williams-butch-wilmore-stranded-in-space-will-vote-in-2024-us-election-13815166.html,"How Nasa astronauts Sunita Williams and Butch Wilmore, stranded in space, will vote in US election","NASA Astronauts Butch Wilmore and Sunita Williams are scheduled to return to Earth in February 2025. X/Commercial_Crew

Nasa astronauts Sunita Williams and Butch Wilmore are stranded aboard the ...",[],"https://images.firstpost.com/uploads/2024/09/Sunita-Butch-ISS-1-X-2024-09-94a55bfec621326c811b49d703b4907e.jpg?im=FitAndFill=(1200,675)",0.1843,463987545,1,firstpost.com,news,Firstpost,zho-1686788
8320698560,eng,True,2024-09-14,05:22:17,2024-09-14T05:22:17Z,2024-09-14T05:20:30Z,news,0.0,https://www.yahoo.com/news/bill-maher-amazed-taylor-swift-051539411.html,Bill Maher Is Amazed By Taylor Swift and George Clooney's Influence on 2024 Election,"Bill Maher eventually got to the ""big news this week"" on the latest episode of HBO's Real Time -- Taylor Swift's endorsement of Kamala Harris.

The host appeared amazed at the pop superstar's ...",[],https://s.yimg.com/ny/api/res/1.2/_tlZUuI5Nlwz6zmqrwfRqg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY7Y2Y9d2VicA--/https://media.zenfs.com/en/the_hollywood_reporter_217/7d348565b45687d4e503d3b08103df66,0.1922,463987337,1,yahoo.com,news,Yahoo,
8320697088,eng,False,2024-09-14,05:18:48,2024-09-14T05:18:48Z,2024-09-14T05:18:33Z,news,0.5451,https://www.hollywoodreporter.com/tv/tv-news/bill-maher-taylor-swift-george-clooney-influence-2024-election-1236001540/,Bill Maher Is Amazed By Taylor Swift and George Clooney's Influence on 2024 Election,"Bill Maher eventually got to the ""big news this week"" on the latest episode of HBO's Real Time -- Taylor Swift's endorsement of Kamala Harris.

The host appeared amazed at the pop superstar's ...","{'uri': ['carly_thomas@hollywoodreporter.com'], 'name': ['Carly Thomas'], 'type': ['author'], 'isAgency': [False]}",https://www.hollywoodreporter.com/wp-content/uploads/2024/09/Bill-Maher-Taylor-Swift-getty-H-2024.jpg?w=1296&h=730&crop=1,0.1922,463987128,1,hollywoodreporter.com,news,The Hollywood Reporter,eng-9898353
8320695253,eng,True,2024-09-14,05:16:37,2024-09-14T05:16:37Z,2024-09-14T05:16:22Z,news,0.0,https://ommcomnews.com/world-news/sunita-williams-to-cast-vote-in-us-presidential-elections-from-space,Sunita Williams To Cast Vote In US Presidential Elections From Space | World,"Washington: Indian-origin astronaut Sunita Williams and her fellow NASA colleague Butch Wilmore, currently stuck on the International Space Station (ISS), expressed their anticipation on Saturday for ...",[],https://ommcomnews.com/wp-content/uploads/2024/09/Sunita-Williams-to-cast-vote-in-US-presidential-elections-from-space.jpg,0.1137,463986997,1,ommcomnews.com,news,Ommcom News,
8320682456,eng,True,2024-09-14,05:00:54,2024-09-14T05:00:54Z,2024-09-14T04:59:59Z,news,0.0,https://newsroomodisha.com/sunita-williams-to-cast-vote-in-us-presidential-elections-from-space/,Sunita Williams to cast vote in US presidential elections from space | News Room Odisha,"Washington: Indian-origin astronaut Sunita Williams and her fellow NASA colleague Butch Wilmore, currently stuck on the International Space Station (ISS), expressed their anticipation on Saturday for ...",[],https://newsroomodisha.com/wp-content/uploads/2024/09/202409143222436-4kCZW0.png,0.1137,463986054,1,newsroomodisha.com,news,News Room Odisha,
8320681821,eng,True,2024-09-14,05:00:46,2024-09-14T05:00:46Z,2024-09-14T04:59:06Z,news,0.0,http://www.uniindia.com/trump-says-voting-for-harris-voting-for-war-with-russia/world/news/3283122.html,Trump says voting for Harris voting for war with Russia,"Washington, Sep 14 (UNI) A vote for US Vice President Kamala Harris in the 2024 presidential election is a vote in favor of war with Russia, former US President Donald Trump said.

""A vote for Comrade ...",[],https://www.uniindia.com/cms/gall_content/2024/9/2024_9$largeimg14_Sep_2024_100330757.jpg,-0.051,463986046,1,uniindia.com,news,http://www.uniindia.com/fadnavis-orders-probe-into-mumbai-pub-fire/states/news/1090400.html,
8320681819,eng,True,2024-09-14,05:00:17,2024-09-14T05:00:17Z,2024-09-14T04:59:06Z,news,0.0,http://www.uniindia.com/~/trump-says-voting-for-harris-voting-for-war-with-russia/World/news/3283122.html,Trump says voting for Harris voting for war with Russia,"Washington, Sep 14 (UNI) A vote for US Vice President Kamala Harris in the 2024 presidential election is a vote in favor of war with Russia, former US President Donald Trump said.

""A vote for Comrade ...",[],https://www.uniindia.com/cms/gall_content/2024/9/2024_9$largeimg14_Sep_2024_100330757.jpg,-0.051,463986017,1,uniindia.com,news,http://www.uniindia.com/fadnavis-orders-probe-into-mumbai-pub-fire/states/news/1090400.html,
8320681825,eng,True,2024-09-14,05:00:14,2024-09-14T05:00:14Z,2024-09-14T04:59:06Z,news,0.0,http://www.uniindia.com/news/world/trump-says-voting-for-harris-voting-for-war-with-russia/3283122.html,Trump says voting for Harris voting for war with Russia,"Washington, Sep 14 (UNI) A vote for US Vice President Kamala Harris in the 2024 presidential election is a vote in favor of war with Russia, former US President Donald Trump said.

""A vote for Comrade ...",[],https://www.uniindia.com/cms/gall_content/2024/9/2024_9$largeimg14_Sep_2024_100330757.jpg,-0.051,463986014,1,uniindia.com,news,http://www.uniindia.com/fadnavis-orders-probe-into-mumbai-pub-fire/states/news/1090400.html,
8320677148,eng,False,2024-09-14,04:53:12,2024-09-14T04:53:12Z,2024-09-14T04:51:49Z,news,0.7569,https://www.latestly.com/world/sunita-williams-and-butch-wilmore-to-cast-vote-in-us-presidential-elections-2024-from-space-says-nasa-makes-it-very-easy-for-us-to-do-that-6265345.html,"Sunita Williams and Butch Wilmore To Cast Vote in US Presidential Elections 2024 From Space, Says 'NASA Makes It Very Easy for Us To Do That' | 🌎 LatestLY","Washington, September 14: Indian-origin astronaut Sunita Williams and her fellow NASA colleague Butch Wilmore, currently stuck on the International Space Station (ISS), expressed their anticipation on ...",[],https://st1.latestly.com/wp-content/uploads/2024/07/Sunita-Williams-Barry-Butch-Wilmore-784x441.jpg,0.1843,463985592,1,latestly.com,news,LatestLY,zho-1686788
