"url","pubDate","title"
"https://www.newsweek.com/kamala-harris-erodes-confidence-donald-trump-winning-election-1938565","2024-08-13T15:34:26+00:00","Kamala Harris erodes confidence in Donald Trump to win election"
"https://www.newsweek.com/donald-trump-polling-blow-economy-1938616","2024-08-13T15:27:40+00:00","Donald Trump suffers double polling blow over economy vs Kamala Harris"
"https://www.foxnews.com/opinion/greg-gutfeld-kamala-harris-morphing-donald-trump","2024-08-13T04:32:04+00:00","GREG GUTFELD: Is Kamala Harris morphing into Donald Trump?"
"https://theblast.com/619732/donald-trump-kamala-harris-looks-melania-x/","2024-08-13T13:15:00+00:00","Donald Trump Claims Kamala Harris Looks Like His Wife Melania"
"https://nymag.com/intelligencer/article/medias-bias-kamala-harris-donald-trump-double-standard.html","2024-08-13T10:00:52.204000+00:00","The Media’s Double Standard Favors Donald Trump, Not Kamala Harris"
"https://www.indiatimes.com/news/world/us-presidential-election-2024-after-donald-trump-elon-musk-offers-to-host-kamala-harris-639813.html","2024-08-13T07:52:32+00:00","US Presidential Election 2024: After Donald Trump interview, Elon Musk offers to host Kamala Harris"
"https://www.dailymail.co.uk/news/article-13737741/Kamala-Harris-takes-five-point-lead-Donald-Trump-independent-voters-race-swings-wide-open.html","2024-08-13T05:40:13+00:00","Kamala Harris takes five-point lead on Donald Trump with independents"
"https://www.newsweek.com/why-donald-trump-debating-kamala-harris-fox-news-could-backfire-1938493","2024-08-13T12:57:17+00:00","Why Donald Trump debating Kamala Harris on Fox News could backfire"
"https://www.newsweek.com/kamala-harris-drink-donald-trump-poll-beer-1938456","2024-08-13T11:52:40+00:00","Kamala Harris leads Donald Trump in ""beer"" poll that predicted past winners"
"https://www.forbes.com/sites/steveforbes/2024/08/13/heres-how-trump-can-defeat-kamala-harris-and-how-he-can-lose/","2024-08-13T10:00:00+00:00","Here’s How Trump Can Defeat Kamala Harris—And How He Can Lose"
"https://www.newsweek.com/donald-trump-flee-venezuela-loses-election-elon-musk-interview-1938321","2024-08-13T06:41:42+00:00","Donald Trump says he will flee to Venezuela if he loses election"
"https://www.usatoday.com/story/news/politics/elections/2024/08/13/kamala-time-magazine-cover-melania/74779474007/","2024-08-13T15:36:49+00:00","Kamala Harris' Time Magazine cover draws praise from an unlikely source: Donald Trump"
"https://www.usatoday.com/story/graphics/2024/08/13/trump-harris-2024-election-odds/74767125007/","2024-08-13T08:51:12+00:00","Kamala Harris rises in polls. See what election odds bettors give her now"
"https://www.mlive.com/politics/2024/08/kamala-harris-would-debate-donald-trump-in-grand-rapids-on-this-condition-campaign-says.html","2024-08-13T13:45:29.276000+00:00","Kamala Harris would debate Donald Trump in Grand Rapids on this condition, campaign says"
"https://www.yahoo.com/news/central-valley-farmers-donald-trump-181245005.html","2024-08-13T18:12:45+00:00","Central Valley farmers like Donald Trump on water. On California’s Kamala Harris, less so"
"https://www.huffpost.com/entry/bernie-sanders-donald-trump-2024_n_66bb9e99e4b0b1dc53031b5b","2024-08-13T19:23:57+00:00","Bernie Sanders Warns Donald Trump Is Gearing Up To Deny 2024 Election Results"
"https://www.forbes.com/sites/saradorn/2024/08/13/trump-vs-harris-2024-polls-harris-expands-lead-in-latest-survey/","2024-08-13T12:56:39+00:00","Trump Vs. Harris 2024 Polls: Harris Expands Lead In Latest Survey"
"https://www.newsweek.com/donald-trump-risk-losing-florida-presidential-election-kamala-harris-1938497","2024-08-13T12:10:21+00:00","Donald Trump at risk of losing Florida, poll suggests"
"https://www.foxnews.com/media/cnn-data-guru-says-donald-trump-very-much-ball-game-despite-harris-polling-gains","2024-08-13T17:30:01+00:00","CNN data guru says Donald Trump 'very much in this ball game' despite Harris' polling gains"
"https://www.newsweek.com/elon-musk-kamala-harris-spaces-x-twitter-1938337","2024-08-13T09:45:18+00:00","Elon Musk's offer to Kamala Harris after Trump interview"
"https://www.businessinsider.com/elon-musk-donald-trump-x-interview-livestream-2024-8","2024-08-13T20:53:50+00:00","Donald Trump and Elon Musk solidify their alliance with a 2-hour livestream"
"https://www.breitbart.com/politics/2024/08/13/exclusive-donald-trump-kamala-harris-will-not-sit-with-any-real-journalists-only-a-soft-democrat-interview/","2024-08-13T18:58:32+00:00","Exclusive — Donald Trump: Kamala Harris Will Not Sit with Any Real Journalists, Only ‘a Soft Democrat Interview’"
"https://www.yahoo.com/news/donald-trump-becoming-increasingly-detached-155619375.html","2024-08-13T15:56:19+00:00","Donald Trump Is Becoming Increasingly Detached From Reality"
"https://www.breitbart.com/2024-election/2024/08/13/donald-trump-kamala-harris-believes-in-tampons-in-boys-bathrooms-that-is-why-she-chose-tim-walz/","2024-08-13T17:45:53+00:00","Donald Trump: Kamala Harris 'Believes in Tampons in Boys' Bathrooms;' That Is Why She Chose Tim Walz"
"https://www.yahoo.com/news/both-harris-trump-campaigns-ramp-020143201.html","2024-08-13T02:01:43+00:00","Both Harris and Trump campaigns ramp up efforts in Georgia"
"https://www.bostonglobe.com/2024/08/13/opinion/trump-crowd-size-harris/","2024-08-13T17:01:48.695000+00:00","Donald Trump is a size queen"
"https://www.dailymail.co.uk/news/article-13738113/kamala-harris-fiery-response-trump-musk-interview.html","2024-08-13T08:21:15+00:00","Kamala Harris issues fiery response to Trump's rambling Musk interview"
"https://www.washingtonpost.com/elections/2024/08/13/2024-election-campaign-updates-harris-trump/","2024-08-13T11:39:42.425000+00:00","Election 2024 live updates: Walz, Harris seeking to shore up labor support, woo working class"
"https://www.dailymail.co.uk/news/article-13739835/kamala-harris-donald-trump-poll-wisconsin.html","2024-08-13T17:37:45+00:00","Shock poll reveals Kamala Harris with a nine-point lead in key state"
"https://www.newsmax.com/politics/florida-poll-donald-trump/2024/08/13/id/1176363/","2024-08-13T18:28:36+00:00","Fla Poll: Trump Leads Harris by 5 Points"
"https://www.breitbart.com/politics/2024/08/13/elon-musk-urges-moderates-to-back-donald-trump-path-to-prosperity/","2024-08-13T16:57:02+00:00","Elon Musk Urges Moderates to Back Donald Trump: 'Path to Prosperity'"
"https://www.sfchronicle.com/news/politics/article/the-latest-harris-begins-policy-rollout-19653664.php","2024-08-13T12:43:21+00:00","The Latest: Harris begins policy rollout; material from Trump campaign leaked to news outlets"
"https://www.sfgate.com/news/politics/article/the-latest-harris-begins-policy-rollout-19653664.php","2024-08-13T12:45:39+00:00","The Latest: Harris begins policy rollout; material from Trump campaign leaked to news outlets"
"https://www.chron.com/news/politics/article/the-latest-harris-begins-policy-rollout-19653664.php","2024-08-13T12:59:35+00:00","The Latest: Harris begins policy rollout; material from Trump campaign leaked to news outlets"
"https://thehill.com/homenews/campaign/4824842-five-questions-facing-kamala-harris/","2024-08-13T10:00:00+00:00","5 questions facing Kamala Harris"
"https://www.dailymail.co.uk/news/article-13739673/donald-trump-kamala-harris-florida-poll-2024-election.html","2024-08-13T16:59:01+00:00","Poll: Harris within 'striking distance' of Trump in his home state"
"https://finance.yahoo.com/news/bernstein-kamala-harris-campaign-may-063412824.html","2024-08-13T06:34:12+00:00","Bernstein: Kamala Harris Campaign May Impact Bitcoin Prices"
"https://nypost.com/2024/08/13/opinion/kamala-harris-hides-from-elon-musk-and-all-press-because-she-has-nothing-to-say/","2024-08-13T16:29:03+00:00","Kamala Harris hides from Elon Musk (and all press) because she has nothing to say"
"https://www.yahoo.com/news/biden-says-ll-attend-trump-232800636.html","2024-08-13T23:28:00+00:00","Biden says he’ll attend Trump inauguration if Harris loses"
"https://www.yahoo.com/news/women-voting-either-kamala-harris-141040001.html","2024-08-13T14:10:40+00:00","Women Voting For Either Kamala Harris Or Donald Trump Are Sharing The Reasons Why, And Some Of Them Have Me Scratching My Head"
"https://www.chicagotribune.com/2024/08/13/editorial-kamala-harris-donald-trump-tips-taxes-nevada/","2024-08-13T19:05:19+00:00","Editorial: Kamala Harris signs onto a signature Trump issue, taking pandering to new depths"
"https://www.yahoo.com/news/poll-says-harris-could-steal-203745972.html","2024-08-13T20:37:45+00:00","New Poll Says Harris Could Steal Crucial Trump State"
"https://www.vanityfair.com/news/story/trump-suggests-hell-flee-to-venezuela-if-harris-wins-the-election","2024-08-13T21:19:16.102000+00:00","Trump Suggests He’ll Flee to Venezuela If Harris Wins the Election"
"https://www.independent.co.uk/news/world/americas/us-politics/trump-musk-interview-harris-news-live-b2595378.html","2024-08-13T00:14:41+00:00","Trump and Musk speak in anticipated X interview as Harris leads in polls: Live"
"https://dailycaller.com/2024/08/13/democrat-strategist-trump-kamala-harris-time-magazine-cover/","2024-08-13T19:59:46+00:00","Dem Strategist Aghast About Trump Poking Fun At Harris Time Magazine Cover During Musk Livestream"
"https://www.chron.com/news/politics/article/why-trump-s-and-harris-proposals-to-end-federal-19653303.php","2024-08-13T07:12:28+00:00","Why Trump's and Harris' proposals to end federal taxes on tips would be difficult to enact"
"https://www.sfgate.com/news/politics/article/why-trump-s-and-harris-proposals-to-end-federal-19653303.php","2024-08-13T07:11:32+00:00","Why Trump's and Harris' proposals to end federal taxes on tips would be difficult to enact"
"https://www.newsweek.com/mark-hamill-election-remark-trump-1938631","2024-08-13T15:39:22+00:00","Star Wars' Mark Hamill's election remark takes internet by storm"
"https://www.mercurynews.com/2024/08/13/letters-1828/","2024-08-13T23:30:25+00:00","Letters: Harris vs. Trump"
"https://www.independent.co.uk/news/world/americas/us-politics/donald-trump-flee-venezuela-election-b2595836.html","2024-08-13T18:54:13+00:00","Donald Trump says he’ll flee to Venezuela if he loses the election"
"https://www.thedailybeast.com/trump-says-kamala-as-beautiful-as-melania-on-time-cover","2024-08-13T13:09:45.062000+00:00","Trump Says Kamala as ‘Beautiful’ as Melania on TIME Cover"
"https://www.rawstory.com/jd-vance-kamala-harris-2668955167/","2024-08-13T11:55:36+00:00","'Channeling Donald Trump Jr.' J.D. Vance's 'silly' lies called out by WaPo fact-checker"
"https://nymag.com/intelligencer/article/kamala-harris-symbol-new-political-era.html","2024-08-13T20:54:05.147000+00:00","Can Kamala Harris Be the Symbol of a New Political Era?"
"https://www.foxnews.com/politics/trump-chats-musk-overarching-interview-harris-continues-snubbing-media","2024-08-13T03:49:46+00:00","Trump chats with Musk in lengthy, overarching interview as Harris continues snubbing media"
"https://www.breitbart.com/politics/2024/08/13/elon-musk-you-cant-have-conversation-with-biden-harris-like-you-can-with-trump/","2024-08-13T17:13:03+00:00","Elon Musk: 'You Can't Have a Conversation with Biden or Harris' Like You Can with Trump"
"https://dailycaller.com/2024/08/13/cnns-harry-enten-kamala-harris-2024-donald-trump/","2024-08-13T14:24:03+00:00","CNN’s Harry Enten Warns Harris Fans Not To ‘Open The Champagne Bottle’ Yet As Trump ‘Very Much In This Ball Game’"
"https://www.nytimes.com/live/2024/08/13/us/harris-trump-election?utm_source%5C%5Cu003dnewsshowcase%5C%5Cu0026utm_medium%5C%5Cu003dgnews%5C%5Cu0026utm_campaign%5C%5Cu003dCDAQ3pblkMGuk8edARig8MXvytmfxakBKg8IACoHCAowjuuKAzCWrzw%5C%5Cu0026utm_content%5C%5Cu003drundown%5C%5Cu0026gaa_at%5C%5Cu003dg%5C%5Cu0026gaa_n%5C%5Cu003dAWsEHT62GoYEFfuR6Jts16_rqOwDeqNbfoX7u0AdKJK0Iq5VyLXFDA59umwXenY56NbwOEbEHlr-IQ%3D%3D%5C%5Cu0026gaa_ts%5C%5Cu003d66bb986b%5C%5Cu0026gaa_sig%5C%5Cu003dY3zh1Jk7KymugT2Us4pf8irc36xMbGDcEpV4T1TWWLqGQwYqdNyeE54KWJLAtuS19AoGIPVYZBzLavwQZllWLQ%3D%3D=","2024-08-13T12:00:56+00:00","Walz Courts Union Members and Derides Trump: Election Updates"
"https://www.yahoo.com/news/harris-trump-head-north-carolina-231900268.html","2024-08-13T23:19:00+00:00","Harris, Trump head to North Carolina as battleground map widens"
"https://thehill.com/homenews/ap/ap-u-s-news/ap-the-latest-harris-begins-policy-rollout-material-from-trump-campaign-leaked-to-news-outlets/","2024-08-13T19:48:52+00:00","The Latest: Harris begins policy rollout; material from Trump campaign leaked to news outlets"
"https://www.reuters.com/world/us/who-are-candidates-running-2024-us-presidential-election-2023-09-19/","2024-08-13T18:39:30+00:00","2024 election: Who is running for US president?"
"https://www.foxnews.com/media/newsweek-headline-rewrites-trumps-pledge-eliminate-taxes-tips-kamala-harris-tax-proposal","2024-08-13T00:00:37+00:00","Newsweek headline rewrites Trump's pledge to eliminate taxes on tips as 'Kamala Harris' tax proposal'"
"https://www.newsmax.com/newsfront/harris-leads-trump/2024/08/13/id/1176301/","2024-08-13T12:22:47+00:00","Independent Center Poll: Harris Leads Trump by 9 Points in Wisconsin"
"https://www.dailykos.com/stories/2024/8/13/2262937/-TRUMP-IS-LOSING-to-Kamala-Harris-Who-He-Says-is-Dumb-Low-IQ-What-Does-that-Say-About-Trump","2024-08-13T20:41:01+00:00","TRUMP IS LOSING to Kamala Harris, Who He Says is Dumb, Low IQ - So What is He Saying About Himself?"
"https://www.westernjournal.com/kamala-harris-campaign-panics-drops-meltdown-message-trump-musk-interview-turn-tables/","2024-08-13T13:02:43+00:00","Kamala Harris Campaign Panics, Drops Meltdown Message as Trump-Musk Interview Could Turn Tables on Her"
"https://www.axios.com/2024/08/13/harris-trump-polls-pennsylvania-wisconsin-michigan","2024-08-13T17:03:31+00:00","Harris’ surprising Rust Belt strength"
